simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
6661	3.1067796	1.4497811	1.3551546	38.857185	1.6364216	1.4610874	0.12108767	0.025579833
2357	5.2586311	0.33955527	1.4063794	54.596988	1.8060927	1.3341005	0.064957028	-0.094134732
3275	0.3603589	0.23690539	2.2797495	57.210867	1.7398427	1.7227794	0.11383511	0.055585654
5150	0.8471614	0.016836239	1.4195833	62.239518	1.4721414	1.421382	-0.034967113	-0.023683811
6849	1.4232292	-0.98912912	1.2996627	69.4299	1.7745304	1.4116562	-0.12442489	-0.23230135
817	2.633147	0.12413204	2.5605413	72.795428	1.5189433	1.4305642	0.053648122	-0.013277725
3929	4.8315971	0.37076052	0.48345173	73.592894	2.134564	1.2026572	0.30297765	-0.005969891
5584	2.3558659	-0.70164081	1.8325516	79.332548	2.0148854	1.666944	0.050272476	-0.21209508
7612	4.1585053	-0.49445039	1.2439652	84.158637	2.064779	1.9561892	-0.0055604361	-0.098362498
1922	3.3752218	0.38188434	0.75814954	89.952231	1.9527919	1.8251347	0.0071597368	0.040797935
5351	1.9315632	-0.46626489	1.632007	94.032819	2.2900607	2.1411167	0.13316763	0.077505954
183	5.3942362	-0.75930781	1.1613845	94.326809	2.6456819	2.1891282	-0.17617287	0.044514575
6124	2.6525145	0.20567022	1.0321763	97.890854	2.060963	1.1759471	-0.040359776	0.13203811
6642	4.4362395	-0.19996714	0.52510083	100.47102	1.766987	1.410326	-0.19220952	-0.073100784
1632	0.35003558	-0.36817553	2.9710712	101.80346	1.37842	1.3503636	0.21279012	-0.10312569
6933	1.0151865	-0.7218057	3.0357484	101.87668	2.1021063	2.092542	-0.022766391	-0.30887706
1058	2.1782159	-0.1993409	1.0274183	102.45305	2.2954083	1.5691106	0.0091215007	-0.097448122
580	4.630322	-0.66546776	1.1815231	102.72643	1.8728536	1.3193222	0.29761696	-0.036155641
4410	3.108803	-0.27194577	0.28694057	104.78898	1.7850353	1.466708	0.07239502	0.003590265
