simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	3.8945277	-0.085180657	0.19184119	2401.9479	11.37967	10.737716	-0.10914208	0.10897026
1	4.2620217	0.6847603	1.3204223	99.934597	1.6025696	1.4846585	-0.3165063	0.36905316
2	2.0473784	0.34121813	2.3151222	1667.6488	10.545988	9.8185815	-0.17099396	0.83371285
3	0.43188698	-0.55696732	0.50728767	1723.1764	34.222754	30.529802	0.29413276	-0.49908071
4	2.3650673	-0.8619666	2.1812584	529.48066	12.197127	8.8576476	-0.03985031	0.09057942
5	2.7476572	-1.2241757	2.8669594	1452.1489	15.600321	14.985701	0.39685258	0.11189737
6	5.2306863	0.17499876	2.3534463	2057.8572	29.635112	26.564144	-0.30323962	-0.04246303
7	5.2884446	-0.3925152	2.7789984	1791.1137	22.489233	18.946643	0.1925382	-0.040673694
8	3.7971859	0.87535684	0.38678959	69.91004	1.3295759	1.2733131	-0.054336888	0.015494004
9	0.66888419	0.72449942	0.41072353	921.13314	7.1942655	5.5579709	0.27341101	-0.036403383
10	3.7644135	0.91245576	0.41571206	746.21158	2.8577304	2.1732509	0.14549832	-0.031920954
11	1.277467	0.27687017	0.54791956	1095.8091	41.317913	30.131205	-0.18983606	-0.36882549
12	2.7429147	-0.83090338	0.42219035	525.72341	1.9540304	1.9514033	0.20498235	0.03851524
13	2.4513505	-0.22354046	0.33238289	379.41466	2.8309731	1.4475029	-0.069731042	-0.07449952
14	4.5625499	-0.0033924737	0.32873468	241.62828	1.6557878	1.3981591	0.27038833	-0.064034769
15	3.2600868	-0.72179625	2.48729	3472.2913	54.52085	33.427784	-0.23383457	0.4471867
16	0.17145007	0.40632663	0.63911067	239.92027	1.4250404	1.3919402	-0.079331182	-0.015111492
17	5.8845313	-0.62850955	0.82015032	147.83435	2.5313564	2.466934	0.21699435	0.11723812
18	0.96535827	1.405876	2.6485628	114.3456	2.5854931	2.4503458	0.20211444	-0.058282913
19	5.9676174	0.60324529	0.50822698	1225.8371	20.690491	11.5948	0.059549651	0.27190536
20	3.3359655	-0.22661304	2.2060064	1966.0196	30.83906	21.085031	0.22119512	-0.1248349
21	3.3950243	-0.33706707	2.3010108	195.22488	2.4477575	1.3773235	-0.020961089	0.022095379
22	2.4084685	0.086911397	0.26154381	153.24153	1.350121	1.2433831	-0.0070396227	0.16569749
23	1.6187509	-1.2082629	2.241285	246.88916	2.2987606	2.1092237	0.12007248	-0.013697487
24	2.2987218	-0.66782778	2.2454705	677.10112	12.381551	8.2060214	-0.058312282	-0.1377306
25	0.71179619	-0.57124169	0.43502244	498.52159	1.644987	1.262336	0.0083930418	-0.069100518
26	5.534528	1.0500643	2.6476844	1938.7416	49.229729	39.503979	0.08703409	0.79078756
27	4.2690116	-0.061137693	2.7058954	570.22177	36.114034	21.707716	-0.24063827	-0.10879727
28	4.9260559	0.77806619	2.7293805	1122.8284	21.72105	9.4121376	0.32988253	0.68334372
29	5.3307909	-0.60343408	0.34666124	2270.3876	20.910073	17.6459	0.47188862	-0.14819088
30	0.98078349	-1.0430924	2.5382067	956.98507	21.04019	18.907478	0.543458	0.20951329
31	2.5943416	-0.36740041	0.58788169	250.5902	2.3387527	1.8749175	-0.097685305	0.13333025
32	5.3373964	0.1944663	2.1127356	41.222664	1.686951	1.3522906	-0.0028396089	0.082218323
33	5.7311327	0.79517612	0.80954091	188.95996	2.0802421	1.7804398	-0.041369755	-0.043139394
34	1.9676521	1.1980271	0.5208742	1801.1962	10.140457	9.9075525	-0.18001951	0.30400254
35	4.1117304	1.1776959	2.6930017	172.86009	1.9334938	1.8671689	-0.047204967	0.11400031
36	4.8158785	-0.38728304	2.9822675	1196.8274	18.028979	11.96289	0.009182384	-0.3520013
37	4.7244838	0.055420077	2.6755138	219.83263	2.7763424	1.560072	0.23917409	-0.036820227
38	4.6484458	0.3994863	0.98852277	135.39625	2.3280659	1.3128062	-0.09668754	-0.0054839872
39	2.700522	0.03093389	1.1259038	1417.5721	54.226343	27.510362	-0.45615196	-0.27510726
40	4.7860584	0.68903642	0.77036909	239.92091	2.3658146	1.9442886	-0.26716083	-0.18889965
41	3.4382461	-1.1352003	2.3472051	1192.1831	22.282002	21.909966	-0.015570458	0.18034156
42	3.9465497	0.2825885	0.47259907	4804.8396	55.822052	51.171203	0.010080833	0.024238846
43	6.0422185	-0.82245846	2.5673898	196.5779	1.6292826	1.3412141	-0.051403107	-0.053055287
44	1.5340812	-0.58757421	0.090012988	1142.7477	28.840605	21.76406	0.46542015	-0.031391864
