simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.6661491	-0.91702632	2.6390425	460.70592	1.6268244	1.4395666	0.020037754	-0.011192681
1	5.9971485	0.2547955	2.310982	164.65641	1.4154254	1.2435471	-0.02405214	0.045407793
2	3.6229343	0.58563957	2.6432339	137.09931	1.3565905	1.3484808	-0.028988861	0.00097308199
3	0.51457126	-1.0153521	2.9566765	310.88648	1.4011926	1.395439	0.030934887	0.0023746162
4	5.9830292	0.95627987	0.48259436	282.11906	1.4653767	1.3882828	-0.042650749	-0.031859985
5	0.065679705	-1.0887234	0.63835012	191.53813	1.4425614	1.4161388	-0.042195669	-0.0093998002
6	2.7040567	-0.39850663	1.079266	104.81025	1.46596	1.3854334	-0.016921381	-0.043810844
7	0.066162298	-1.2565751	0.50810262	301.51499	1.4199803	1.4195961	-0.020615914	0.039716351
8	0.37307845	-0.43503502	2.8834601	86.047136	1.3205152	1.218199	-0.021774109	0.03940456
9	5.0874881	1.0580646	0.032352303	109.43692	1.5633803	1.3081757	0.0018996911	-0.04074063
10	3.9745839	0.49656095	0.2298142	119.14032	1.5342307	1.4122295	-0.018864829	-0.049167928
11	2.0193849	0.056592924	1.9161266	114.74189	1.416305	1.2271656	-0.0056155074	-0.012990218
12	2.0425071	1.4369196	2.6032899	31.514635	1.4691797	1.3598036	-0.017220004	-0.03013817
13	1.2936349	0.20900274	0.85637728	167.43679	1.3519274	1.3133277	-0.016429298	-0.015121102
14	0.65005231	-0.50868992	0.72564183	112.76255	1.475217	1.3486115	0.029754076	0.00052314086
15	2.8979198	-0.817129	0.50603784	229.24265	1.3941363	1.3055928	-0.0031256232	-0.033204704
16	2.259286	-1.1365445	2.7925235	18.253223	1.2618391	1.2010754	-0.035069687	0.046158204
17	2.9056879	1.2707842	1.9704058	133.88078	1.4312936	1.3752349	-0.033793128	0.045717012
18	1.9437619	-0.38450881	2.1107735	450.18758	1.451427	1.3588099	-0.029654576	-0.03455094
19	1.6032731	0.50571732	2.7325576	230.47015	1.3251221	1.3041409	0.043499596	0.029169138
20	5.4293562	0.13417489	0.59296202	275.76223	1.4593262	1.43675	7.4022667e-05	-0.029069103
21	3.443184	0.1814024	0.78492779	81.004943	1.3799743	1.3491417	-0.046598169	0.011986148
22	1.83562	0.4586396	0.29204783	334.66602	1.4406021	1.4402269	0.011782116	-0.04968542
23	3.1449831	0.10284024	2.1496501	198.51373	1.4159103	1.3013839	-0.040993272	0.030617896
24	0.76001756	-0.43612031	1.7467004	108.07205	1.5132665	1.3373375	-0.035243186	0.01998063
25	2.8555272	0.53618581	2.3653622	192.03182	1.5728161	1.490352	-0.038743225	-0.035241542
26	5.7932387	-0.70698433	1.6944828	100.31503	1.3430821	1.2206942	-0.020655391	-0.041779824
27	2.5716602	0.88136944	0.44577934	260.10879	1.5885664	1.4988726	-0.038642846	0.031854801
28	4.3717974	-0.41336165	2.0776688	58.954679	1.4373282	1.2503874	-0.0079708705	0.020689802
29	1.2460372	-0.4714884	2.4789307	272.74567	1.6752018	1.3339678	0.0088645984	-0.0083146218
30	2.6190751	-0.91945412	0.65924323	289.03448	1.6607633	1.4345997	-0.0014619741	0.035262349
31	0.27226585	0.07745962	2.7225028	202.12304	1.4430117	1.324484	-0.031124449	0.0065686468
32	3.1433295	0.43418349	2.9929583	167.03206	1.4961754	1.3825904	-0.044482192	-0.0045329251
33	2.1966371	0.31428303	0.073094225	144.00381	1.5091011	1.2947249	-0.010712977	-0.031576969
34	4.4774684	0.54934635	0.3786023	179.14738	1.5233153	1.4040587	0.0010769128	0.036665518
35	3.1900581	-1.2925824	1.5065925	50.514627	1.3706634	1.3422234	-0.038297897	0.032036534
36	5.1248229	0.17467648	3.0700326	291.11917	1.5637281	1.4271706	-0.017036678	0.0070705303
37	4.9998883	0.13156479	2.0790728	93.143951	1.3780655	1.2711529	-0.0038103433	0.044549272
38	3.0759586	-0.48785586	1.0327287	207.17238	1.4976664	1.346595	-0.042965997	0.042363845
39	4.3508961	0.75817656	0.73414287	193.22943	1.402053	1.3844932	0.017278116	0.010962653
40	1.3751702	-0.46703729	1.9183487	88.856741	1.446311	1.4266559	0.049661324	0.032707249
41	2.3066977	1.0246288	2.1312238	48.413625	1.3528823	1.3114915	-0.01911492	0.021961049
42	0.30822611	0.30906007	0.90367609	291.50607	1.3836479	1.3590557	-0.017512715	0.041636221
43	5.5494821	0.96150342	2.4469084	151.79067	1.5432738	1.2513212	-0.019804411	0.018524348
44	5.2918127	-0.57083059	1.7186163	109.0362	1.3556753	1.2734943	0.029527309	0.023502381
45	3.0073921	-0.16057523	0.50603762	309.71446	1.5595432	1.5308056	-0.023464355	0.029808782
46	5.0662051	1.1242633	2.1928357	138.23724	1.4550534	1.3049415	0.0051661749	0.033773107
47	1.6226394	-0.98727366	1.9779996	124.60647	1.4772435	1.3432919	0.012523364	-0.04637459
48	2.4767271	-0.67572109	1.7971532	77.400075	1.3592176	1.2020099	0.0080854339	-0.038594506
49	2.7444202	-1.4862271	2.9367676	194.05552	1.4743414	1.4152953	-0.049717675	-0.0081369208
50	5.1284243	0.2598158	1.9350621	118.38464	1.4955243	1.4238183	-0.0074501573	0.027571334
51	4.1098119	0.36640022	2.3454894	217.82463	1.4270044	1.407177	0.04828788	0.016220377
52	5.9051302	0.89147427	2.8999733	628.51685	1.6156213	1.4177259	-0.043970476	-0.033465567
53	4.0843913	1.2658593	2.3158491	180.29789	1.3221455	1.314304	-0.019092995	0.035818401
54	5.3682316	0.66546764	0.70076211	102.82047	1.4886433	1.207263	-0.0069905387	-0.031738419
55	6.247787	0.32591843	1.2105733	285.89469	1.5417456	1.4572679	-0.021369517	-0.046745227
56	0.70555018	0.27950434	2.7058516	186.12272	1.4661374	1.3346832	-0.035746266	0.044486392
57	0.26452254	-0.37696982	1.9024783	115.79448	1.38869	1.3152341	-0.042771572	0.047234275
58	4.6411839	-0.3127962	1.0974869	122.97171	1.4793266	1.4637595	-0.04509812	-0.011338512
59	1.9103822	-0.4255028	0.65576879	290.0572	1.4678356	1.3833277	-0.024910385	0.001804478
60	0.71953116	-0.69707687	0.80138823	221.9853	1.4452605	1.3381526	0.034687216	0.01498353
61	5.4082403	-0.38256573	0.71075912	301.21579	1.5280067	1.4011371	0.012982851	0.034868231
62	5.8789558	-0.36531957	2.8192632	209.56123	1.3042819	1.2689111	-0.0012324525	0.045624304
63	4.6260748	-0.74187415	1.361949	65.9187	1.3873249	1.3349682	-0.012630246	0.035641266
64	0.94880771	0.37696026	0.46013514	371.66237	1.4724729	1.4271585	0.018971616	-0.039412421
