simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	183.13397	7.562043	2.5513803	0.5442562	0.0061814467
1	4.16646	0.1384404	2.1691204	468.24382	9.0469407	1.9608141	0.75769174	0.22001901
2	2.0473784	0.34121813	2.3151222	777.07411	9.4463292	1.59186	-0.17281261	0.017540409
3	1.4714451	-0.6398126	1.6305539	404.50597	10.393269	2.2437231	0.75098997	-0.087664291
4	2.3650673	-0.8619666	2.1812584	374.19904	19.444236	2.2845327	0.50079276	-0.2669428
5	2.7476572	-1.2241757	2.8669594	689.94642	7.8256051	2.5013945	0.0021457788	-0.084335873
6	6.1275014	0.8693476	1.8171581	400.89456	7.1745849	2.0296206	0.20382407	0.023537361
7	3.7971859	0.87535684	0.38678959	118.76911	12.473654	1.2150579	0.48233529	-0.071799315
8	0.66888419	0.72449942	0.41072353	850.75713	21.088582	2.4777294	0.50079276	-0.2669428
9	2.5551373	0.15590735	1.3743943	447.74996	23.451912	2.2931925	0.18493806	0.085361243
10	3.7392392	-0.21207263	1.1334813	448.20196	28.264865	2.5857529	-0.27511144	-0.30053296
11	0.54163444	0.25383075	0.64851615	639.15183	7.9707896	2.3868531	-0.016911605	-0.083690054
12	5.02435	-1.3291572	0.50467617	649.07522	9.5651297	2.250781	0.026445534	-0.0459473
13	2.4513505	-0.22354046	0.33238289	559.8236	6.3362813	2.6871171	-7.1845972e-05	-0.0079439871
14	4.5625499	-0.0033924737	0.32873468	394.81006	10.211018	1.6598896	0.22832378	-0.15260387
15	0.17145007	0.40632663	0.63911067	449.22877	11.086085	2.0869456	0.099018308	0.040376543
16	5.6884721	0.11746066	2.4076972	528.8943	11.345202	2.492165	0.0026363106	0.10989572
17	5.8845313	-0.62850955	0.82015032	186.3344	7.1065737	2.3975357	-0.044312664	0.18193446
18	0.42200473	-0.33899638	2.3250295	670.36295	22.840233	2.4223876	-0.62483098	0.083822651
19	0.96535827	1.405876	2.6485628	121.62976	5.5312437	1.6240997	0.1439629	0.22380297
20	5.9676174	0.60324529	0.50822698	630.62265	10.471101	2.4664536	-0.1418062	-0.023270097
21	3.3950243	-0.33706707	2.3010108	240.20561	6.1314267	1.4660352	-0.053098801	-0.015744026
22	2.4084685	0.086911397	0.26154381	287.3267	8.7010391	2.0175165	0.096951746	-0.11960117
23	3.6029505	-0.86447741	2.8300176	1036.7066	8.0292145	2.4723265	0.51899562	-0.018084378
24	5.8493326	-0.054763019	2.7044718	631.76391	7.6195945	2.7193889	-0.17424538	0.091190098
25	1.6187509	-1.2082629	2.241285	322.22977	11.238174	1.7178035	0.030979889	0.073527125
26	2.2987218	-0.66782778	2.2454705	417.71841	8.5007226	2.2815908	0.0067889936	0.13278946
27	2.8306436	0.19983041	2.6879702	654.97502	9.574757	1.9372323	-0.0097925137	-0.12299896
28	4.2690116	-0.061137693	2.7058954	233.72286	8.0057872	1.23333	0.047103004	0.067821842
29	4.9260559	0.77806619	2.7293805	602.33119	12.001958	2.6148396	-0.16842155	-0.020365685
30	5.3307909	-0.60343408	0.34666124	923.20391	7.9405644	2.1993016	-0.048327108	-0.011194444
31	1.7616645	-0.23895613	2.7726104	454.5078	7.1043786	1.9099162	-0.26478138	0.0010580959
32	0.13958807	-0.9271967	0.95901775	415.39691	7.3644175	1.5369291	0.054973125	0.033867204
33	2.3531795	0.055067242	0.14395914	290.51378	6.6838576	1.3533965	0.026558844	0.049678408
34	0.98078349	-1.0430924	2.5382067	391.06491	8.01562	1.6834061	-0.087078188	0.29535887
35	4.6016685	-0.43314576	2.5337191	340.41537	6.6680245	1.4896229	-0.0033844381	-0.12342979
36	2.5943416	-0.36740041	0.58788169	289.3395	6.7947074	1.6692547	-0.49132413	0.05397664
37	5.3373964	0.1944663	2.1127356	65.989311	7.230684	2.0426565	-0.021860515	0.0022396562
38	5.6967739	0.28608051	0.4561375	580.85062	6.6095279	2.3261323	0.19537601	0.0044898969
39	5.7311327	0.79517612	0.80954091	253.02988	7.9960544	1.9156119	-0.26371259	0.27562751
40	4.7230312	0.23164605	1.1750534	493.58868	7.4112641	2.6176517	-0.19826234	0.040398342
41	4.1117304	1.1776959	2.6930017	211.52446	9.368448	1.1973632	0.28427426	-0.0053618723
42	4.8158785	-0.38728304	2.9822675	677.12176	10.32347	1.9920419	0.88010951	-0.11515987
43	4.7244838	0.055420077	2.6755138	282.33169	10.555114	1.277094	0.44127291	-0.0062941934
44	1.3956603	-1.2660667	2.9460804	445.03609	8.9210439	2.566414	0.72003905	0.17607344
