simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.9571784	0.49759669	0.42385806	2637.8961	21.113743	10.166421	0.45714035	0.60478061
1	5.923145	1.0533621	2.0301308	390.73869	7.4655193	5.672167	0.53661728	-0.048517087
2	4.5990093	0.060768567	0.64576438	3573.2136	29.346021	17.138934	-0.23946856	0.016423987
3	5.4043887	1.2222484	1.0687041	1717.4245	21.567998	7.9068829	0.17550064	-0.162412
4	1.6661491	-0.91702632	2.6390425	2119.7171	43.997122	10.006279	0.61674752	0.65838492
5	2.8191819	-0.50938582	0.37993297	5832.8206	67.353323	31.246102	0.32257494	-0.13983844
6	3.4882305	0.26356294	0.26171826	3600.8827	45.818919	24.456096	0.31308637	0.73774276
7	4.3697881	-0.40977926	2.1097142	1984.9358	55.278126	51.485986	-0.54442795	0.76072718
8	5.4791453	-0.15435469	0.73982172	1026.6431	48.891764	8.2029908	0.63762404	-0.08192746
9	1.1945903	0.49515622	2.0892908	1093.6056	16.994871	8.8274659	0.31409523	-0.13846499
10	5.9971485	0.2547955	2.310982	695.70238	27.836841	9.6759978	0.89907431	0.18376763
11	0.53908163	-0.061076352	2.8045328	1187.4255	30.756114	10.643717	-0.10975703	0.65062751
12	2.3255985	-1.0387107	2.1491759	2014.5328	24.846026	18.507384	0.056457227	0.57700974
13	0.96278009	-0.86686226	0.30119594	2980.5637	26.092346	14.304239	0.0054922536	-0.29140421
14	5.597548	-1.1671297	2.1329556	1558.9555	24.817982	22.280274	0.653074	-0.038176428
15	2.8138605	0.73039712	0.72115826	1967.0545	58.905306	9.7315607	-0.40063455	-0.60789821
16	2.3872852	0.87115953	2.0523366	1305.7999	39.896531	30.599464	-0.96202092	-0.78342012
17	5.9531956	-1.3268002	0.17263738	1848.1038	27.605628	6.9719773	0.802758	0.44217091
18	3.6229343	0.58563957	2.6432339	504.11404	8.1049678	6.1458693	0.30602055	0.019267023
19	3.3238176	0.39041463	0.35682708	1633.5904	13.807166	7.5467643	0.38241985	-0.28495273
20	2.9578287	-0.54325895	1.7584817	469.95701	10.76375	8.6856503	0.73203369	-0.68849873
21	0.51457126	-1.0153521	2.9566765	1323.3871	14.98183	9.1090568	-0.1729826	-0.26748923
22	5.9830292	0.95627987	0.48259436	1250.1615	23.692852	8.905527	0.91551517	0.2491723
23	2.9637456	-0.081848925	0.41550033	1618.387	25.521135	17.054745	0.85542188	0.16756257
24	0.90357359	-1.3160225	0.68221368	3364.9887	39.324612	11.772775	-0.13252733	-0.15348378
25	4.4502202	-0.50073823	1.6443882	570.14964	8.9277206	7.2643131	0.5000004	-0.60179577
26	4.6363154	-0.51406886	0.60815167	3457.0954	29.091223	14.797929	0.82426578	-0.40785101
27	4.2832381	0.88102739	1.1990826	1245.8316	26.565093	9.712408	0.93156353	-0.46216955
28	4.483303	0.73789868	1.5309116	2021.9062	37.634097	30.052478	0.21508049	0.65803938
29	2.7040567	-0.39850663	1.079266	413.48091	18.34045	8.8842656	0.98495666	0.67254529
30	2.8332877	0.2730144	0.88097232	2081.8127	14.427106	12.887834	-0.982739	0.79523014
31	5.0818308	0.52572448	0.78474245	1332.5403	24.428044	8.2059342	0.64536466	0.40377883
32	3.6423119	-0.15780213	2.2957837	2067.7334	25.305819	16.13518	-0.47233679	-0.35432151
33	1.3674339	-0.25277355	1.5066724	1647.3995	24.866244	19.497632	0.55570616	0.31175448
34	4.0473661	1.3087517	0.82624037	1841.2169	14.777529	14.331719	-0.46091544	0.60563821
35	4.4136631	0.11584202	1.039474	766.54805	13.178338	6.2982498	0.018896093	-0.73189359
36	0.066162298	-1.2565751	0.50810262	1226.6186	9.5059403	9.495987	-0.8481951	0.34638376
37	1.6068385	0.34714202	1.1041903	1349.0813	18.369235	6.7029902	0.18243096	0.44075156
38	4.9223536	-0.027501914	1.6974364	843.97396	29.115437	20.620717	0.60585982	-0.55307506
39	2.4765483	-1.2431271	0.62156891	2288.1754	37.448945	9.0758704	0.67285773	-0.60786691
40	0.42752206	-0.5246437	2.9179142	2786.8937	25.742402	19.92458	0.44776495	0.62156271
41	1.2879053	0.19898706	2.9649923	1887.8661	52.037331	15.725494	-0.87667564	-0.87756891
42	4.8357705	-1.277131	0.67451996	1381.1377	13.150931	7.441584	0.92362555	0.40331459
43	2.0006926	-0.12918107	2.933629	1763.1028	24.224234	9.1929435	0.90391073	0.6583045
44	3.9604958	0.17936413	0.66334555	4569.273	53.699033	25.727196	0.46884332	0.3643401
45	5.4703317	0.13633982	2.1433292	573.2316	16.202373	10.277719	-0.86353654	0.44401848
46	5.9542654	1.2930826	0.25454636	3331.0337	68.157344	16.954344	0.79816315	-0.88523292
47	1.4080519	-0.76610009	2.184316	1499.3643	13.221622	9.74192	-0.1394249	0.28727179
48	0.73677131	-1.2560786	2.5894498	3213.7178	40.918999	40.499469	-0.18485727	0.077460493
49	1.2875112	0.48425694	1.3115118	544.85281	17.688197	9.0342649	-0.18290355	0.61081974
50	4.126289	0.20724236	2.684743	1508.7653	62.051949	11.713353	-0.53742488	-0.42079027
51	2.356662	0.23163184	0.86657921	1525.9991	23.626105	19.73548	0.34779377	-0.661417
52	0.65431688	0.78784981	0.30477287	1627.8119	55.786243	39.533647	0.7479475	0.96392112
53	1.3685874	-0.41937694	0.34400021	1492.4037	29.113032	10.822179	0.1324556	0.71545719
54	0.90001414	-0.32366657	2.7811768	1738.3598	45.714579	11.753226	-0.62939943	0.92367695
55	4.0121885	-0.46954106	0.51594121	1631.3014	43.863246	30.289211	0.11938046	-0.35080632
56	1.3161058	-0.64388903	0.53546069	1299.1934	54.337319	9.1739137	0.96275499	0.70753357
57	4.6815722	-0.84842741	2.1042651	1453.8052	14.095757	11.430825	0.2639364	0.24235988
58	5.5510274	-0.92366111	2.5980447	8262.619	54.663686	53.972639	-0.41411451	0.52184804
59	0.20995984	0.91451804	0.23479125	9781.7269	77.752587	61.231822	-0.44181888	0.50918132
60	2.6074591	-0.92781966	2.9113443	2470.0022	23.695272	10.66076	0.84173188	-0.8041447
61	4.8291842	-0.48198172	1.2720993	1381.0518	32.913279	10.51355	0.062912044	0.71990478
62	4.9786614	-0.11390931	0.77831476	5343.501	27.118922	23.046908	0.79562399	0.83021338
63	6.2480482	0.34796534	2.1290409	703.45361	15.986502	10.773361	0.66466907	0.3077251
64	1.3461192	-0.48002079	2.6337377	2057.0345	15.454219	6.9410394	-0.75555083	0.70042846
65	3.3265122	-0.19651118	2.7759645	1555.2408	29.253324	17.017199	-0.094104432	-0.37961978
66	0.37307845	-0.43503502	2.8834601	320.99903	19.985328	5.7508393	0.12021028	-0.87112736
