simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	2.993575	0.31569722	2.0030861	654.2798	8.3549318	1.5590008	-0.3071628	-0.014392495
1	1.1415065	1.1881556	2.629991	2727.2481	37.957789	1.8803084	0.82661151	0.013528545
2	4.929868	-0.16404952	3.0431832	1127.3853	10.101776	1.7746833	-0.72591672	0.0060896329
3	1.6661491	-0.91702632	2.6390425	1290.2683	39.747079	1.6380014	0.39674752	0.044362875
4	5.9971485	0.2547955	2.310982	421.31362	11.915716	1.2194218	0.40376763	-0.010147762
5	2.8138605	0.73039712	0.72115826	1113.9385	52.825364	1.5932703	0.039365449	-0.041813041
6	2.3872852	0.87115953	2.0523366	1135.8418	38.967202	1.684376	0.79797908	0.0048777716
7	3.6229343	0.58563957	2.6432339	358.27921	7.8917785	1.3170445	0.96602055	0.034306415
8	3.3238176	0.39041463	0.35682708	879.88472	12.444522	1.5569358	-0.71758015	0.018941781
9	2.9578287	-0.54325895	1.7584817	327.85533	10.483966	1.4375388	0.73203369	-0.0014393299
10	0.51457126	-1.0153521	2.9566765	803.86123	8.4449735	1.6234839	-0.04748923	-0.019847606
11	5.9830292	0.95627987	0.48259436	682.50129	8.1768565	1.6902678	-0.4108277	-0.042650749
12	4.4502202	-0.50073823	1.6443882	383.70341	8.6341476	1.3664206	0.5000004	-0.019282615
13	2.7040567	-0.39850663	1.079266	275.89575	8.6552253	1.5180997	0.89254529	-0.028032492
14	4.4136631	0.11584202	1.039474	440.06619	12.464206	1.4220609	-0.86110391	-0.0036309895
15	0.066162298	-1.2565751	0.50810262	736.19934	8.8338546	1.5329435	-0.1881951	-0.004728093
16	1.6068385	0.34714202	1.1041903	842.48109	6.230646	1.6106053	0.66075156	-0.046341871
17	1.2879053	0.19898706	2.9649923	872.925	45.438698	1.6317532	-0.65667564	-0.044321662
18	4.8357705	-1.277131	0.67451996	702.37004	6.7349773	1.6554895	-0.91668541	0.0022033105
19	5.0218295	-0.24711925	0.068542431	1333.7604	16.341156	1.6217728	0.98308827	-0.015805909
20	1.4080519	-0.76610009	2.184316	808.96832	8.8322415	1.677828	-0.81272821	0.01518056
21	1.3161058	-0.64388903	0.53546069	858.43715	50.975212	1.5444379	0.74275499	-0.0087104256
22	0.60789625	-1.1208054	2.1703644	713.60364	6.0221695	1.3544941	0.3547498	0.037973612
23	4.8291842	-0.48198172	1.2720993	919.55896	30.828157	1.6096606	0.50291204	-0.04141895
24	3.3265122	-0.19651118	2.7759645	960.44251	26.954899	1.7110174	0.12589557	-0.041394938
25	0.37307845	-0.43503502	2.8834601	218.93595	5.6366804	1.4397776	0.66887264	0.017182337
26	4.3268888	-0.99590663	2.5670556	859.17335	17.852428	1.6175289	0.47595962	-0.040242474
27	5.0874881	1.0580646	0.032352303	240.03394	9.0642	1.5079674	-0.36666447	0.0018996911
28	0.6882847	-1.2607025	2.215733	713.81766	8.3128448	1.6481569	0.86852569	0.0085796229
29	3.9745839	0.49656095	0.2298142	240.17335	25.538912	1.2876535	-0.31352497	0.036690727
30	4.858365	-0.18128858	2.5045249	948.91921	9.8931795	1.6962641	0.64439658	-0.043280792
31	2.0425071	1.4369196	2.6032899	88.179206	13.966553	1.3767467	0.97904392	0.025417385
32	1.2936349	0.20900274	0.85637728	402.52943	7.6959761	1.3750208	-0.10530011	0.0071011199
33	0.65005231	-0.50868992	0.72564183	256.05885	18.040032	1.3887839	-0.2908693	0.022745363
34	3.6812013	-0.25719677	2.6189318	1072.5837	9.4503828	1.780064	-0.18189376	0.03108161
35	2.8979198	-0.817129	0.50603784	538.45415	6.6425232	1.4770495	-0.43745314	-0.036458957
36	6.2359393	0.61046712	0.58003979	450.74367	14.037569	1.398008	0.017088463	0.046193632
37	5.953362	1.0564065	2.6786883	254.56895	13.289702	1.3772755	-0.29491091	0.039755123
38	0.64970793	-1.2490297	0.55016537	512.55418	5.540047	1.3606235	-0.61804491	0.0099860853
39	1.760018	0.42264284	2.0859287	536.43097	12.805232	1.3585217	0.2642749	0.025927657
40	1.765111	-1.0072929	2.3895864	872.65055	6.6972787	1.6150536	0.23370189	0.017581875
41	1.3477644	-0.87314575	2.0635314	11794.511	18.561766	3.3288128	0.79791715	-0.025973265
42	2.259286	-1.1365445	2.7925235	43.382918	6.4096716	1.2077963	0.4056202	0.046158204
43	2.9056879	1.2707842	1.9704058	393.09814	12.719889	1.4474012	0.87089608	-0.020949654
44	5.3985564	1.127207	1.9570925	8070.7747	13.198736	3.070222	0.8129062	0.022473077
45	0.3337909	-0.57886789	2.8438236	961.72762	8.9334516	1.5767749	-0.096007015	-0.0041308838
46	4.3520048	0.8829403	2.9300558	1110.9651	9.9238308	1.5370619	0.65745569	-0.033408761
47	2.9711651	-0.85420156	0.47246759	496.10476	11.023955	1.4772967	0.084229466	0.024578077
48	3.3677992	0.77688945	0.28794958	527.89343	13.187353	1.5740073	0.073775964	0.043386381
49	1.8025112	-0.73514969	2.0880929	871.45589	14.855968	1.6799707	-0.87374344	0.0019609156
50	3.892812	-0.90156869	2.696277	1089.6379	19.235055	1.6933021	-0.90816488	0.04789426
51	3.7525404	0.4898931	2.6039615	786.80078	7.926046	1.64337	-0.55178314	0.026732644
52	3.443184	0.1814024	0.78492779	205.27424	7.8412598	1.4163115	0.67732572	0.0089573863
53	4.5676949	-0.56373539	0.5438284	1438.7717	19.364826	1.6443959	0.37983926	0.018743766
54	1.83562	0.4586396	0.29204783	848.92747	9.2746166	1.4632978	0.11622869	-0.021551217
55	3.1449831	0.10284024	2.1496501	491.34876	6.6932477	1.4969539	0.16623433	0.025673395
56	0.76001756	-0.43612031	1.7467004	303.57473	25.694439	1.5900476	0.62218492	-0.013352704
57	6.1431696	1.0029309	0.24455566	780.3385	5.8532108	1.5627308	0.95308456	0.038388244
58	2.8555272	0.53618581	2.3653622	471.65439	30.759736	1.3602325	0.40221747	0.0057012192
59	5.7932387	-0.70698433	1.6944828	222.21636	5.4424332	1.3774405	-0.60724051	-0.031766502
60	2.5716602	0.88136944	0.44577934	721.33191	31.283161	1.5148431	0.63072507	-0.049753957
61	1.2174239	0.48901349	0.21649182	1157.7806	6.1396454	1.5510558	-0.40097552	0.023253358
62	5.6886937	1.3958371	2.1528602	785.52526	9.9543543	1.5503965	0.41877801	0.0028069891
63	4.3717974	-0.41336165	2.0776688	128.55984	5.9216908	1.4589565	-0.69034193	-0.030193093
64	5.264589	-0.13011912	1.9897103	513.19284	9.6756403	1.5346152	-0.73241081	-0.0042997423
65	0.17245974	-0.84416793	1.3773277	13091.705	28.570026	3.3461837	0.77140195	-0.01032673
66	2.2828438	-1.4731778	0.25452869	2496.2321	28.003914	1.6233103	0.86045396	0.015362983
67	5.093636	-0.46150996	2.7323746	992.08346	28.128861	1.4700466	0.42733218	-0.0016584244
68	1.045087	-1.0358076	0.22087048	888.34756	48.31833	1.4339069	-0.64724675	0.038147554
69	3.2342286	1.1840172	1.2347411	978.98807	40.730616	1.6799601	0.6536041	-0.031628201
70	5.8901188	-1.0422688	2.3472769	1176.9941	18.845365	1.4758878	0.80511706	-0.04128786
71	1.6106473	-0.94189716	0.48051984	638.66054	8.1533497	1.5166777	0.11344425	0.033622917
72	1.011151	0.50059004	2.4111137	1117.7705	12.086074	1.7797677	0.81792314	-0.028534571
73	4.3374603	1.0623422	0.20484591	978.84081	24.727972	1.5622357	-0.007722909	-0.040010247
74	0.27226585	0.07745962	2.7225028	471.41338	9.3089958	1.4191405	-0.30994079	-0.008902227
75	5.4862494	0.96915175	2.9025309	1428.4011	18.166412	1.4482527	0.83904748	-0.00063101831
76	3.1433295	0.43418349	2.9929583	353.32143	10.678995	1.4485748	-0.96975192	-0.011148859
77	2.1966371	0.31428303	0.073094225	354.66475	6.7666756	1.4605074	0.69477601	0.011509245
78	4.4774684	0.54934635	0.3786023	551.18151	15.425581	1.6166213	0.90132287	0.0033321843
79	2.2933055	0.47677426	0.085611234	999.34588	32.048828	1.6793092	0.3385579	-0.020167856
80	4.3969779	-0.29969775	2.0407824	249.26619	6.0100236	1.6333085	0.53709885	0.0056369454
81	3.0377629	1.142181	0.65178005	573.22929	7.5082438	1.455806	-0.36568345	0.038153602
82	0.25943796	0.7611129	2.5590766	1169.9239	37.925673	1.7805011	0.48846548	-0.023294404
83	4.9998883	0.13156479	2.0790728	212.66367	6.5411692	1.5930891	-0.9554448	-0.011006283
84	6.1961164	0.091625311	2.2144141	962.48549	25.551637	1.496809	0.96913146	-0.038394705
85	2.6408821	0.35689258	2.6168404	673.13447	6.3255792	1.6273175	0.42596534	0.027840579
86	4.1511292	1.4699447	0.837385	383.62931	14.451693	1.4982089	-0.72097965	-0.02699249
87	1.3751702	-0.46703729	1.9183487	242.3249	21.121733	1.4929509	0.64760354	0.038550213
88	3.0888944	-0.58164724	2.1515667	1319.1917	11.825638	1.6611873	0.49405382	-0.045880099
89	3.5960277	0.32448241	0.27436885	1141.0671	7.7919539	1.6547555	0.38933198	0.045651037
90	4.298287	-0.31136216	2.8573772	1244.7195	22.270517	1.7173826	0.98908815	-0.027307417
91	3.2975846	0.57397112	0.88878494	389.80594	6.9849494	1.5872397	0.54935432	0.026905837
92	5.1484526	0.53328944	2.3589973	730.06264	6.2283593	1.3211363	0.2607952	-0.035749569
93	1.9918002	-0.32447474	2.6568372	1067.208	7.494663	1.7609595	0.78445361	0.049048337
94	2.3422723	0.84970809	0.8161707	596.3397	8.0511769	1.6593299	-0.53337247	0.041501186
95	5.2640931	0.93147562	0.45456049	716.77204	8.5155787	1.4704994	-0.4381105	0.035126914
96	2.3066977	1.0246288	2.1312238	104.52861	7.1389613	1.4639401	-0.88517123	0.036440636
97	2.9724515	-0.042321864	2.4296594	904.75499	8.7007499	1.4902773	0.41701389	0.042698663
98	1.8631481	-0.44858797	2.8107082	1222.8533	10.34063	1.6041943	0.22295166	-0.022823983
99	5.2918127	-0.57083059	1.7186163	258.1339	7.8899523	1.2196814	0.14464071	0.0012801587
100	0.67546942	-0.012283228	0.84779266	353.16974	7.527399	1.472385	-0.65195755	0.02058545
101	3.8596741	1.4142225	1.8186348	384.51412	19.397289	1.321971	-0.1339958	-0.0013983496
102	2.509917	0.27129061	0.9989039	542.21428	5.7569268	1.5148919	0.72111475	-0.017968799
103	5.0662051	1.1242633	2.1928357	417.19556	13.54456	1.4852807	0.98229026	0.011550884
104	2.5058214	-0.91553238	2.5170776	583.55985	7.7668523	1.5688693	-0.25842221	0.018696278
105	2.4767271	-0.67572109	1.7971532	173.46855	5.2844199	1.3870566	-0.54417122	-0.036359011
106	1.3859204	-0.56924004	0.13611587	1073.8	10.607157	1.642912	0.67351363	-0.01862735
107	2.7444202	-1.4862271	2.9367676	470.0331	13.754241	1.4919602	-0.10440996	0.036307524
108	0.76636078	1.1907993	2.715025	1001.1969	8.298551	1.6864004	-0.95853572	-0.018133075
109	0.32968952	-0.79797473	2.276701	285.51512	7.0241855	1.5091896	0.92231358	0.040072701
110	5.1284243	0.2598158	1.9350621	241.36987	23.989896	1.2769092	-0.36751311	0.049793557
111	4.1098119	0.36640022	2.3454894	545.43658	11.379785	1.406031	0.32116346	-0.040601009
112	4.6197906	0.40516735	2.0664141	578.34052	6.2102899	1.4791388	-0.29093349	-0.044644767
113	3.1017807	-0.70862947	0.86431187	963.78257	41.043638	1.636574	0.86376279	0.0071117131
114	4.0843913	1.2658593	2.3158491	435.43056	7.1067705	1.4940969	-0.17079566	0.014240338
115	2.5151402	0.84237622	0.33771869	881.86769	6.9675827	1.8695302	0.97243911	-0.0083463991
116	4.6704267	0.19940752	2.3854435	904.87067	17.044692	1.6525388	-0.43479359	-0.016809314
117	3.8515949	0.57377601	2.4234537	8814.8942	15.310933	3.0436272	-0.13164989	0.015082864
118	5.3682316	0.66546764	0.70076211	249.5426	5.3567286	1.4272354	0.69157931	0.0041205724
119	1.8988423	0.5907712	1.3342098	693.06488	5.9731133	1.6182268	-0.00070297746	0.049413707
120	5.2731852	0.71180215	1.2761184	459.0963	7.8884795	1.5136237	0.74349317	0.040408347
121	0.70555018	0.27950434	2.7058516	524.9541	9.6641935	1.4649329	0.88083055	0.0086981788
122	3.8362108	0.08757742	1.4155443	290.05798	5.3698608	1.326311	0.37213028	-0.0150274
123	0.26452254	-0.37696982	1.9024783	287.95669	7.1612465	1.5459916	0.27523865	0.012783983
124	4.6411839	-0.3127962	1.0974869	309.0198	17.683683	1.636109	0.21549746	0.010457436
125	6.0412774	-0.38958512	0.401362	824.68549	30.507726	1.6429809	-0.81923838	-0.011672152
126	1.2878182	0.63683744	2.2636943	1408.9046	15.284216	1.7548403	0.9746611	0.019598301
