simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.9727176	-0.79564713	0.521194	1370.4873	11.428833	10.890756	-0.48537502	-0.17448138
1	3.8945277	-0.085180657	0.19184119	4285.7299	41.250376	35.099415	0.26226129	0.00076648139
2	0.058534055	0.107761	2.1534174	1598.9669	12.548905	11.025648	-0.14621977	-0.46899214
3	3.4985618	1.4760648	0.44284782	6129.1424	25.498286	21.174739	0.42830205	-0.070499135
4	4.2620217	0.6847603	1.3204223	373.15343	15.173216	11.72339	-0.12220462	-0.023600125
5	4.2269646	-0.94302286	1.8136851	2993.2689	38.428943	32.424302	-0.25461816	0.414051
6	4.16646	0.1384404	2.1691204	1082.1001	8.9384165	7.7784582	-0.16964983	0.37209128
7	6.2142918	-1.0927816	0.19378737	5216.5785	46.537514	25.576635	0.87333027	0.27095647
8	5.581021	-0.50267165	2.2354978	3678.4769	41.595347	28.65919	0.039246651	0.28416435
9	4.7868293	-0.79635128	2.9732863	5312.4246	20.824257	19.039208	0.44226089	-0.57672077
10	3.2912287	0.66235522	1.9793623	2133.8869	21.86218	18.864631	-0.02167356	0.12611171
11	2.4494884	0.67171123	3.0420277	7242.263	22.047186	18.857655	-0.46956957	0.49857663
12	3.556187	1.2974908	0.76308083	1859.2063	27.454646	23.973774	0.47448602	-0.035428864
13	2.2682742	-0.56883262	0.41407712	2768.1574	24.561153	15.948574	-0.036523177	-0.44115593
14	0.12456127	0.044576777	1.3443554	5951.1587	75.425698	36.748968	0.083986775	-0.59041475
15	0.15015156	-0.19590104	2.0131078	7964.5967	65.42187	41.408369	0.30537814	-0.25394085
16	5.4973926	1.237735	0.55483457	3064.0635	25.594177	12.99603	-0.021439627	0.059830433
17	0.48051425	0.15663183	2.4569529	2468.9118	38.763223	29.440181	0.75344124	-0.59120715
18	3.4936268	-0.20759648	1.1455371	2531.4118	23.842944	9.905577	-0.10977474	-0.046777094
19	2.0473784	0.34121813	2.3151222	2553.8517	10.445182	9.1635874	-0.54325238	0.0051781697
20	5.6018954	-1.1613052	1.6899994	1134.9758	13.955308	10.123986	-0.018090274	-0.2764603
21	1.5772622	-0.81375492	2.2659462	3097.3986	23.03892	19.361024	-0.30390137	-0.40444849
22	0.43188698	-0.55696732	0.50728767	2078.2087	18.934599	15.290128	0.3840228	-0.0026876365
23	3.5144645	-0.29861814	0.24339957	4381.375	15.316015	11.453563	-0.17930216	-0.11228322
24	2.2241974	-0.97164647	2.5341614	2927.16	13.203148	9.9576464	-0.041609988	0.15237256
25	5.2272277	0.24885025	1.2274494	4400.223	51.184036	23.575027	-0.02120497	0.87834151
26	0.22558558	0.90627516	1.1306471	1386.1344	23.293538	11.789168	-0.21197498	-0.03053827
27	1.4714451	-0.6398126	1.6305539	842.9509	11.570566	9.2251766	0.23008808	-0.51583988
28	1.5276053	0.25186627	3.0303392	19316.218	145.26107	78.587951	-0.23273938	-0.022282992
29	4.6720737	-1.0833957	1.1453322	1414.0911	9.6038401	8.231922	-0.1825657	0.67708247
30	4.3349736	-1.0601715	0.97626947	3392.6874	34.11824	25.477862	0.56196977	0.52988003
31	3.9518699	1.0055623	2.035929	1283.9727	15.81483	9.2479689	0.3063326	-0.32449481
32	3.6737293	-0.09160294	0.85456838	5190.1533	46.772615	41.725418	0.29413276	-0.49908071
33	1.2317768	0.85497565	0.60765049	8159.695	38.757376	24.852469	-0.2700511	0.4299745
34	1.9372769	-0.76855291	0.68938899	6628.7721	67.650735	65.298923	0.48427224	-0.26123455
35	4.9112451	0.04091043	2.8010212	15083.387	82.993153	81.990011	0.10152035	0.6088562
36	6.0399299	0.79046853	1.5344956	16335.876	79.748059	67.71088	0.43654956	-0.2024713
37	5.2688516	-0.70912234	0.80491411	7857.3641	45.110426	37.897671	0.072868586	-0.1482215
38	1.1482229	-0.35124088	1.3835441	1950.0262	24.489311	17.494005	0.0020975391	-0.024199727
39	2.8022209	-1.2382432	2.3704279	2878.3358	19.512749	17.586794	0.069395005	-0.71415066
40	5.3404543	0.83849426	1.4769748	1200.5486	42.138304	38.033881	-0.050394977	-0.01440861
41	5.3919184	-0.02730431	0.97170485	2143.8401	10.523924	9.0977284	-0.56569707	0.09192789
42	4.8644159	-1.4421112	1.9611517	1299.0653	20.647146	11.489208	-0.864942	0.42887938
43	6.1397564	0.0077068705	2.0028743	2294.2733	22.508088	15.690554	-0.51295691	-0.27749341
44	5.0142528	0.42582506	0.3435481	2678.0505	38.793577	29.072781	-0.24766906	0.30603867
45	3.2449231	-0.14990005	0.38436204	9741.3692	87.003438	74.411297	-0.4309162	-0.011823252
46	3.0837948	-0.30762489	2.1657357	5767.6506	69.545554	55.419977	0.14004551	-0.071135315
47	0.82140772	-0.1104197	2.2561907	8514.4883	69.43078	31.93117	0.41844808	-0.34374571
48	1.0267201	-0.83707702	2.4291088	2392.0045	12.070005	10.926854	0.45782373	-0.068518519
49	1.9202558	0.36210267	0.76627363	3568.7155	11.07481	10.3197	-0.11388291	-0.028689834
50	4.7881204	0.55906714	1.8406878	5224.3349	40.987407	25.432003	0.15129873	-0.20047295
