simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	229.74379	1.5290017	1.2755346	-0.1251332	-0.13941787
1	2.7476572	-1.2241757	2.8669594	963.94692	1.5246819	1.404892	-0.00087131296	-0.038182795
2	0.38610984	-1.2183755	1.0088656	868.44923	2.32795	1.7641622	-0.023134917	0.020405819
3	2.9234847	-0.61424613	0.54283478	1497.0888	3.0852459	2.6054113	-0.018278489	-0.13921737
4	3.70423	0.69447503	0.19379682	1298.9402	2.4183909	1.9771832	0.028276131	0.37482177
5	3.7971859	0.87535684	0.38678959	188.29492	1.6956805	1.3911606	-0.20288822	-0.099145665
6	5.5552748	-0.033335504	2.5617974	937.80145	2.0516579	1.9459366	0.063119969	-0.18295212
7	3.7392392	-0.21207263	1.1334813	720.9529	2.1225445	1.5183607	-0.11761373	-0.20722522
8	1.277467	0.27687017	0.54791956	926.4936	2.5606841	2.1772662	-0.024428391	0.16782389
9	2.4513505	-0.22354046	0.33238289	970.50277	2.5664724	2.2539758	-0.2415795	-0.079095713
10	4.5625499	-0.0033924737	0.32873468	586.16177	1.4302525	1.4127977	0.042873865	-0.1112016
11	0.17145007	0.40632663	0.63911067	735.53761	2.2582152	1.8974356	-0.032595673	-0.14356057
12	5.6884721	0.11746066	2.4076972	854.96776	2.3606858	2.1975132	0.21982988	-0.028133834
13	5.8845313	-0.62850955	0.82015032	255.40124	1.400669	1.3848733	-0.095329807	-0.0001232929
14	3.3950243	-0.33706707	2.3010108	446.38651	1.7179644	1.6248012	0.067566575	0.28274615
15	1.4256659	-1.163838	1.2945891	468.23265	2.3787195	1.8201482	0.0032672403	-0.079212565
16	3.1877311	0.031799557	1.0878383	336.49039	2.1835133	1.4971572	0.020168449	-0.13937241
17	3.6029505	-0.86447741	2.8300176	1614.6035	2.0468113	1.8100834	0.082459821	-0.023744334
18	2.434501	-0.44445802	2.6385445	817.95167	1.5108784	1.3964334	0.15381945	-0.14684562
19	6.2813057	0.84173895	1.4343776	9243.0575	3.3945252	3.1322271	-0.0019651196	0.20402223
