simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
18	2.7476572	-1.2241757	2.8669594	1329.0568	3.2124932	2.6567653	0.28543241	0.066467231
28	3.70423	0.69447503	0.19379682	1431.1591	3.2200151	2.412471	0.17306622	0.037548156
31	3.7971859	0.87535684	0.38678959	203.77752	2.0644817	1.6678797	-0.061078237	-0.00031229967
33	5.5552748	-0.033335504	2.5617974	990.24068	2.3570779	2.1939965	-0.070755765	0.042704928
40	1.0518533	0.45252743	2.1388016	636.00892	1.6066077	1.5579268	0.20805769	0.069469268
41	1.277467	0.27687017	0.54791956	952.73124	2.8734913	2.3377556	-0.084361384	0.16737103
52	2.4513505	-0.22354046	0.33238289	794.15504	1.5410661	1.4319393	0.089587028	-0.1277231
57	4.5625499	-0.0033924737	0.32873468	636.56451	1.9580471	1.4436337	-0.059587195	-0.017365953
62	0.17145007	0.40632663	0.63911067	684.78589	1.830751	1.6839048	0.0071703854	-0.12456184
63	5.6884721	0.11746066	2.4076972	782.39912	2.1029538	1.6288307	-0.036435074	-0.28413161
67	5.8845313	-0.62850955	0.82015032	253.34232	1.3904542	1.3504922	-0.018672493	0.0047377573
82	0.22270614	0.70805593	1.8320307	649.05877	1.5540701	1.3447901	-0.083763635	0.0026482701
91	3.3950243	-0.33706707	2.3010108	487.65838	2.1821147	1.9537788	-0.14975753	-0.052046308
95	1.4256659	-1.163838	1.2945891	403.43998	1.795996	1.2253143	0.20242059	-0.1988663
97	0.59251636	-1.2848864	0.045897956	1494.7088	1.928245	1.8253686	0.039933479	-0.29873818
102	3.1877311	0.031799557	1.0878383	334.06311	1.933592	1.6135121	0.083979808	-0.041512105
106	3.6029505	-0.86447741	2.8300176	1732.5892	3.1777757	1.62137	0.063266209	0.053756537
114	1.8504877	-0.031823257	0.82568036	985.2756	2.0127456	1.5978086	0.013353342	0.08471238
120	2.2987218	-0.66782778	2.2454705	679.47093	2.2338542	1.8039441	-0.014156928	0.24071834
125	0.71179619	-0.57124169	0.43502244	1508.7715	1.9867661	1.5827824	0.14952428	-0.0062670534
142	1.786631	0.68409147	0.40715415	968.3002	2.4780567	2.0885843	0.10602717	0.011452219
163	4.6016685	-0.43314576	2.5337191	683.21822	2.072693	2.0007311	0.033413632	-0.039196389
164	5.3373964	0.1944663	2.1127356	109.18523	2.0442393	1.8805364	-0.010546948	0.1791654
165	5.6967739	0.28608051	0.4561375	1053.6815	2.8496958	1.9786197	0.0088717009	0.11477547
170	5.7311327	0.79517612	0.80954091	404.6626	1.6355546	1.5399625	-0.2244059	-0.24093392
173	0.20515139	1.1293232	0.9209096	1291.6482	2.1105868	1.6599691	-0.016229782	-0.35993848
175	5.7735064	0.17923819	0.4441044	1108.032	3.0875891	2.686436	0.93348681	-0.05929994
