simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
23	3.7392392	-0.21207263	1.1334813	307.43369	2.0754341	1.7363449	0.084767666	-0.20105241
39	0.96535827	1.405876	2.6485628	75.225859	1.4234663	1.1473513	0.011381283	0.1414335
41	5.9676174	0.60324529	0.50822698	459.38014	2.829167	2.168106	0.056752909	-0.16160266
43	3.3950243	-0.33706707	2.3010108	203.52304	2.4965136	1.6903491	-0.065447029	0.13191261
58	4.2690116	-0.061137693	2.7058954	180.08433	1.7962008	1.5115858	0.1799358	-0.17095231
76	2.5943416	-0.36740041	0.58788169	238.09473	2.5708864	1.6407813	-0.01548735	0.16854822
85	4.1117304	1.1776959	2.6930017	170.90544	1.9039517	1.8329983	0.074929785	0.07288436
87	4.7244838	0.055420077	2.6755138	208.16534	2.3531858	1.4101125	-0.20366444	-0.006005315
112	6.0422185	-0.82245846	2.5673898	235.06181	2.5121627	1.4923364	0.093061984	0.12742274
113	3.0608573	0.70943968	1.5734348	119.42898	1.5940756	1.3321957	0.042390568	-0.0081680928
149	0.85922384	-0.91662939	2.0270559	104.32172	1.2549049	1.2366871	-0.0076670379	0.054246544
157	1.2494087	-0.65017802	0.67286493	212.35978	2.2146728	1.8611873	0.03445236	-0.0060455192
159	3.830283	0.24040831	2.468018	229.8538	2.1815506	1.9117718	0.032490469	-0.096261892
163	5.6849784	0.34444741	2.7051953	223.89705	1.5867879	1.3335581	-0.011676403	-0.28563876
171	2.4041229	-0.2547009	2.3868201	223.03613	1.9036715	1.6020654	0.22321454	0.056009632
178	1.9447457	-0.49472089	2.5847512	32.975259	1.7447813	1.415451	-0.11679567	-0.060258502
183	3.2766243	0.17193163	2.2850471	236.78099	1.9543568	1.6374889	-0.029304884	0.18761921
188	2.9558267	-0.25724981	1.0674687	223.47175	1.9377071	1.8019315	0.12237089	0.16773633
194	1.6801124	0.062291165	0.86146507	287.86604	1.9703127	1.7358432	0.17077286	0.23416796
196	5.3976868	0.49031711	1.0495639	175.76916	1.560459	1.4127549	-0.003687469	-0.034700335
198	0.25007206	-0.98847519	0.57958481	500.4202	2.8962293	2.8624127	0.059543367	-0.15620337
214	3.911793	-0.35988194	0.35990107	229.63662	1.9406882	1.7617797	-0.12995178	-0.22951169
225	5.0432976	-0.29036121	2.6318122	345.95427	2.0197549	1.4668435	-0.30163618	0.16090561
230	1.8317857	0.88288424	2.6438004	336.22361	2.1353446	1.3919369	-0.026406976	-0.14029418
255	4.4665121	1.5113202	0.46527255	265.85274	2.71244	2.2264549	0.070586596	-0.075310492
262	3.4672691	-0.85035293	2.7682958	324.33912	2.7141318	1.673861	0.0077370671	-0.15948218
266	0.13819433	0.52349043	0.16069659	165.06877	2.3798333	2.2474331	0.0043046988	0.20608979
281	1.2447544	-0.22823967	2.2947819	170.46828	2.8637825	2.077034	-0.9296382	-0.046023441
