simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
1	4.2620217	0.6847603	1.3204223	140.02363	1.2682218	1.2581743	-0.018844983	-0.069838414
18	0.38610984	-1.2183755	1.0088656	496.46397	1.7492297	1.4540676	0.11190608	0.26704698
42	2.7429147	-0.83090338	0.42219035	989.80854	3.082608	2.4165605	-0.52508936	0.1048572
47	4.5625499	-0.0033924737	0.32873468	412.67993	1.8516165	1.5083028	-0.045129462	-0.025886032
53	0.17145007	0.40632663	0.63911067	537.52385	2.8289796	2.2959632	-0.049950587	-0.038472221
81	2.434501	-0.44445802	2.6385445	574.22181	1.8112135	1.6332641	-0.087191149	0.00040221917
87	5.8493326	-0.054763019	2.7044718	553.23849	1.6567261	1.3470476	0.27282111	0.19615929
113	1.7542944	-0.024825885	0.4115078	576.57186	2.2083346	1.3113654	-0.10802136	0.05491601
116	4.6016685	-0.43314576	2.5337191	447.39437	2.0694276	1.8573067	0.05212075	0.012160157
119	5.6967739	0.28608051	0.4561375	535.21112	1.6510845	1.3410921	0.0011300743	-0.0003500474
121	5.7311327	0.79517612	0.80954091	280.79445	1.9218558	1.6012111	0.25124602	-0.34731872
129	4.8158785	-0.38728304	2.9822675	541.54998	1.5015749	1.3842737	0.11517714	-0.18000745
130	4.7244838	0.055420077	2.6755138	306.74301	2.0899743	1.2575588	0.23463483	-0.010298908
150	4.7860584	0.68903642	0.77036909	357.5942	1.8381134	1.8129862	0.077693782	-0.23349617
155	0.74084987	-0.15450337	2.4096784	279.15183	1.8192381	1.2674819	0.030905295	-0.12997927
183	5.3942362	-0.75930781	1.1613845	94.326809	2.6456819	2.1891282	-0.17617287	0.044514575
184	2.4581263	-1.4129542	2.079836	571.31178	2.6958239	1.576406	-0.20001014	-0.10128882
189	3.0974585	-0.68239946	1.1365684	244.55174	2.4791503	2.0536204	0.078421786	-0.17639853
190	4.9866342	-0.046079493	2.3925642	242.79128	2.7165207	1.4693943	0.15621813	-0.13396944
192	0.54721239	1.3310304	2.8003542	741.95427	2.3953625	2.2427371	0.002587605	0.103642
212	6.2300167	1.1344083	0.52365786	614.43565	2.4077081	1.3317055	0.051251526	-0.26327764
213	5.3009943	0.73230499	2.1752874	340.15895	1.4706939	1.2509076	-0.096410994	-0.092099285
222	1.9603628	0.20258853	0.507378	387.65498	2.253724	1.4260456	0.088189784	0.13287116
223	2.5839529	0.57273647	2.8458794	205.7747	1.4150832	1.2278121	0.14462764	-0.015236238
225	0.79079837	-1.1507053	2.5612833	4816.7143	3.4306413	2.3111605	-0.17350688	-0.068619412
231	2.3893545	-0.25865662	0.63523167	751.94364	2.0635672	1.9457021	-0.03644417	-0.23617295
232	0.78230303	-0.84910351	0.82161027	576.17296	2.3604905	2.1702811	-0.13378021	0.12540181
248	2.4041229	-0.2547009	2.3868201	364.72136	2.7657622	1.2748254	-0.13339485	-0.039260892
252	3.3109261	-0.10375101	2.8659604	404.77115	2.0890334	1.8884563	-0.007486088	-0.044623757
267	3.2766243	0.17193163	2.2850471	369.71363	1.8228428	1.660887	-0.15068598	0.036656634
284	0.61230462	0.64064238	0.35073974	310.88941	2.7341781	2.0540454	-0.19411244	0.094672006
289	5.3976868	0.49031711	1.0495639	263.06576	1.4350866	1.2389432	0.015412646	0.066412067
290	6.2378132	0.89877588	0.26710745	3131.9784	3.2364395	1.8113579	-0.30308079	0.12838324
