simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
2477	4.79393	0.10216466	0.7601479	145.98415	1.7259493	1.3423619	-0.068499053	-0.070820947
4041	2.0743979	0.79180399	0.86985775	184.17142	2.4590748	1.5180677	0.0098410618	-0.032017914
1718	4.2621913	-0.16697833	2.4136341	724.57137	2.141039	1.6248001	-0.016898833	0.093593135
6189	2.4623531	0.31609676	2.9185268	210.54298	1.9558971	1.5161588	-0.0012196114	-0.23303746
5583	3.8068109	-0.43471986	2.6467836	1872.1301	2.6474184	2.351184	-0.16031339	0.042149738
5319	0.16871451	0.45081007	1.9120578	148.99063	2.2890385	1.9261398	-0.25055494	-0.048424721
3491	4.2254465	0.11751889	0.52307895	239.96123	1.693227	1.5693533	0.059713114	-0.08006892
6762	2.6321164	-1.0890928	0.602532	875.22525	3.2665082	2.3818991	-0.23453824	-0.22210191
3729	4.8679155	-0.18736236	0.28684741	761.61922	2.613625	2.4112705	0.0037270174	0.16542121
1510	5.9984364	-0.18345913	2.4028809	556.89397	2.1232158	1.4745441	-0.10726907	0.10866639
