jd,mag,mag_unc,filter,limmag,programid,sim
2444245.251388315,21.367813655551437,0.1452868602458517,g,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444245.288957715,99.0,99.0,r,21.496999858840173,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444245.91146504,99.0,99.0,r,20.73609300140452,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444245.95298124,99.0,99.0,g,19.20573555046529,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444247.795979973,99.0,99.0,i,19.696261352588365,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444247.8353347345,99.0,99.0,r,20.43357646880618,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444247.8987490344,99.0,99.0,g,20.963276636519605,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444249.827732034,99.0,99.0,r,20.64535547723592,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444249.8646649336,99.0,99.0,g,20.73842811784671,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444251.78087948,99.0,99.0,i,20.405806685384828,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444254.775954012,99.0,99.0,i,19.859123969975325,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444257.802271733,99.0,99.0,i,20.01144258209116,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444260.8413739637,99.0,99.0,i,20.429665971017,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_816
2444244.650439464,99.0,99.0,g,21.445101229948868,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444244.673217264,99.0,99.0,r,20.564934113844004,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444244.9086428937,99.0,99.0,r,20.616810012002247,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444244.9513975936,99.0,99.0,g,20.12396185124793,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444245.650439464,20.78327870624064,0.2640711581467829,g,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444245.677140864,21.087264055190293,0.2066645283428297,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444246.841689875,99.0,99.0,r,20.56040720250596,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444246.856655175,99.0,99.0,g,20.799584331869816,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444247.4017798915,99.0,99.0,i,19.481005811619905,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444248.855515236,99.0,99.0,g,21.4515114621248,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444248.913327736,99.0,99.0,r,18.568859390348063,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444250.3495723293,99.0,99.0,i,20.40376861980275,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444253.2654422224,99.0,99.0,i,19.90811132817881,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444253.8802838535,99.0,99.0,r,20.037733120033614,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444255.879518403,99.0,99.0,g,19.39386684348352,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444255.9277244033,99.0,99.0,r,20.84656822651254,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
2444256.2941553537,99.0,99.0,i,20.00594781732923,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_BNS/BNS/2_180_323
