jd,mag,mag_unc,filter,limmag,programid,sim
2444244.632367073,99.0,99.0,g,21.70679306726126,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444244.651857873,99.0,99.0,r,22.06689543353009,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444245.632367073,99.0,99.0,g,21.339494448822787,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444245.652019773,21.683799951994168,0.2448659846712505,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444245.993907601,99.0,99.0,g,19.83377136319614,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444248.1902353666,99.0,99.0,i,20.17163794282552,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444251.0183021533,99.0,99.0,r,19.3778628864655,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444253.0203351974,99.0,99.0,g,21.01695922711154,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444253.0409717974,99.0,99.0,r,21.21669865741145,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444253.1047682506,99.0,99.0,i,20.31300774781703,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444255.0403857785,99.0,99.0,r,19.677347056327356,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444255.0972028784,99.0,99.0,g,20.589046319799262,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444256.123502625,99.0,99.0,i,20.269389631102925,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444257.0123250033,99.0,99.0,r,20.342541464308127,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444257.049871303,99.0,99.0,g,20.06523405739605,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444259.0055611287,99.0,99.0,r,19.32483544094706,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444259.007991729,99.0,99.0,r,20.059793335986967,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444259.010410729,99.0,99.0,r,17.76141940200477,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444259.012829729,99.0,99.0,r,19.72058310510989,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444259.015260229,99.0,99.0,r,19.71154941134151,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444261.0689872457,99.0,99.0,r,20.414454499308345,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444261.092714146,99.0,99.0,g,20.37069097543136,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444262.9864638746,99.0,99.0,r,20.688453795334556,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_816
2444244.850146013,99.0,99.0,g,21.29687015687046,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444244.8729122127,99.0,99.0,r,21.23760360681798,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444245.5421065018,99.0,99.0,g,20.792476338333707,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444245.5723496014,99.0,99.0,r,20.69416247775997,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444245.850146013,99.0,99.0,g,21.680829789287017,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444245.870076513,21.595873756581693,0.2495154758815471,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444247.085918412,99.0,99.0,i,20.138694826834325,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444247.5754621117,99.0,99.0,g,20.29694267391404,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444249.586423948,99.0,99.0,r,19.880506048822,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444249.606852148,99.0,99.0,g,20.65503509934159,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444251.0388062466,99.0,99.0,i,19.974343029058254,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444252.45491111,99.0,99.0,r,19.73596461574246,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444252.4760916103,99.0,99.0,g,20.094366765564285,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444263.9579817876,99.0,99.0,i,20.04487503155799,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_323
2444244.576511516,99.0,99.0,g,22.06844379765465,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444244.5992893158,99.0,99.0,r,21.986865866279803,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444244.7750909696,99.0,99.0,r,20.46954821705001,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444245.576511516,22.22524828681757,0.0515763337473348,g,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444245.6104235156,99.0,99.0,r,21.21550810556515,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444246.771521419,99.0,99.0,r,19.94382923302456,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444247.307072312,99.0,99.0,i,17.936225601823278,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444250.769637472,99.0,99.0,g,18.372154477795146,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444251.370253091,99.0,99.0,i,19.51205674685313,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444252.721019262,99.0,99.0,g,19.78260163708776,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444254.7138754507,99.0,99.0,g,20.98746123415121,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444255.3951286115,99.0,99.0,i,20.249158770072427,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444256.7160724592,99.0,99.0,r,21.208436477950617,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444256.7517090593,99.0,99.0,g,19.719855502464537,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444258.3367074067,99.0,99.0,i,20.47887651126036,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444258.7603713674,99.0,99.0,r,20.674361212706515,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444258.7986815674,99.0,99.0,g,20.60782414606447,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444260.753507578,99.0,99.0,r,20.3021229303387,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444261.265771259,99.0,99.0,i,19.846397786170435,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444262.755341038,99.0,99.0,g,19.6884190706171,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_180_564
2444244.632367073,99.0,99.0,g,19.4982472019976,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444244.666533673,99.0,99.0,r,22.21005075623749,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444245.632367073,99.0,99.0,g,22.22894211612235,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444245.6679341733,21.682032707843355,0.2344426405551049,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444245.993907601,99.0,99.0,g,19.02531757412677,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444248.1902353666,99.0,99.0,i,20.08489217894217,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444251.0183021533,99.0,99.0,r,19.20106181231702,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444253.0203351974,99.0,99.0,g,20.349783157258905,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444253.0409717974,99.0,99.0,r,20.15671856532041,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444253.1047682506,99.0,99.0,i,20.318904586487665,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444255.0403857785,99.0,99.0,r,20.718106886016333,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444255.0972028784,99.0,99.0,g,20.48526688789357,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444256.123502625,99.0,99.0,i,19.72755783445565,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444257.0123250033,99.0,99.0,r,20.45407721090332,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444257.049871303,99.0,99.0,g,19.60248327245126,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444259.0055611287,99.0,99.0,r,20.84656383930756,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444259.007991729,99.0,99.0,r,20.64186835006057,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444259.010410729,99.0,99.0,r,20.55777040243205,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444259.012829729,99.0,99.0,r,20.054551780348245,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444259.015260229,99.0,99.0,r,18.413268912513377,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444261.0689872457,99.0,99.0,r,20.58322921451613,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444261.092714146,99.0,99.0,g,19.73754874881502,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444262.9864638746,99.0,99.0,r,18.866975616321007,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_816
2444244.850146013,99.0,99.0,g,18.51950237221926,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444244.893132113,99.0,99.0,r,19.36273215911756,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444245.5421065018,99.0,99.0,g,19.65043600310081,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444245.5723496014,99.0,99.0,r,20.983047591761324,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444245.850146013,99.0,99.0,g,20.59528975353037,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444245.8544169124,21.597320593608483,0.2046189475128593,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444247.085918412,99.0,99.0,i,20.252747760292277,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444247.5754621117,99.0,99.0,g,20.60666172690225,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444249.586423948,99.0,99.0,r,20.102271682863748,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444249.606852148,99.0,99.0,g,20.45434319591012,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444251.0388062466,99.0,99.0,i,20.212777892353515,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444252.45491111,99.0,99.0,r,19.40577351324928,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444252.4760916103,99.0,99.0,g,17.893026207202254,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444263.9579817876,99.0,99.0,i,19.51781147420688,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_323
2444244.576511516,99.0,99.0,g,22.07434379765465,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_564
2444244.621870316,99.0,99.0,r,19.03334908865569,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_564
2444244.7750909696,99.0,99.0,r,20.77659930016612,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O5/outdir_NSBH/NSBH/80_300_564
