jd,mag,mag_unc,filter,limmag,programid,sim
2444244.5190169225,99.0,99.0,i,20.210217993140198,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444244.957868172,99.0,99.0,g,22.433542173661923,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444244.995437672,99.0,99.0,r,21.92079283313547,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444245.4456332214,99.0,99.0,r,20.685178390439876,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444245.4840823216,99.0,99.0,g,19.592542383197493,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444245.957868172,99.0,99.0,g,21.38098610273072,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444245.9989560717,21.604424751883343,0.1947746143840919,r,25.0,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444247.4118718323,99.0,99.0,g,20.630686967864044,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444247.4383384874,99.0,99.0,i,19.764334976595432,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444247.469695932,99.0,99.0,r,19.570302795014825,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444249.4569944628,99.0,99.0,g,21.01147659473752,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444249.5197721627,99.0,99.0,r,19.52193338158368,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444250.402594968,99.0,99.0,i,19.437240105021957,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444253.476575697,99.0,99.0,r,20.37759473702313,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444253.5195270968,99.0,99.0,g,20.94905128099287,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444257.3942909217,99.0,99.0,g,18.51920223193253,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444257.416652022,99.0,99.0,r,19.073852250490397,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444259.4995106887,99.0,99.0,r,21.03797310586313,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444262.5069322777,99.0,99.0,g,20.94577974194357,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_816
2444244.92257516,99.0,99.0,g,22.33013826929905,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_564
2444244.96015616,99.0,99.0,r,21.6118647525852,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_564
2444245.365964614,99.0,99.0,g,21.0817543634032,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_564
2444245.424807214,99.0,99.0,r,19.97179529271702,0.0,/home/weizmann.kiendrebeogo/NMMA/lightcurves-2500-injections/Farah_lc/ztf/O4/outdir_NSBH/NSBH/5_180_564
