jd,mag,mag_unc,filter,limmag,programid,sim
2444244.533667665,99.0,99.0,g,21.7,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444244.540033465,99.0,99.0,r,21.4,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444245.533667665,20.83272398414669,0.0957934168731474,g,21.7,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444245.770407209,99.0,99.0,r,14.6711464719186,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444245.8103493094,20.891487464448,0.1122019526329271,g,21.7,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444248.0695201587,99.0,99.0,i,19.940845010840132,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444248.7346821954,99.0,99.0,g,20.45109584812497,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444248.7565802955,99.0,99.0,r,20.412208941849435,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444250.7822407144,99.0,99.0,g,19.088431662619847,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444252.686335262,99.0,99.0,r,21.05342189078284,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444254.1545050186,99.0,99.0,i,20.011022086577235,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444257.1733755283,99.0,99.0,i,20.66253330082498,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444260.2075039176,99.0,99.0,i,20.7683807424862,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444263.2772193607,99.0,99.0,i,20.483359229175413,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/2
2444244.8988594534,99.0,99.0,g,21.1086827643078,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444244.9463362535,99.0,99.0,r,21.27991337958725,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444245.586703169,19.05615540065345,0.1851739186056551,i,20.9,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444245.8988594534,19.82136124830336,0.0549199177399042,g,21.7,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444245.9485932533,19.92463366258545,0.0492950224549058,r,21.4,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444245.970361995,19.8891873224591,0.1062541520093896,g,21.7,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444245.996669895,19.913877452977665,0.0763605148581612,r,21.4,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444248.0264788903,99.0,99.0,g,20.841271386748748,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444251.450994535,99.0,99.0,i,19.10518344305551,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444252.971822621,99.0,99.0,g,20.004097628413763,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444253.016672121,99.0,99.0,r,20.88287200791082,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444254.4241979118,99.0,99.0,i,20.153631640500045,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
2444255.009301435,99.0,99.0,r,13.332508948404064,0.0,/home/weizmann.kiendrebeogo/NMMA/nmma/LC/Farah_lc/ZTF/O5/outdir_BNS/22
