simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
7045	4.7053694	0.61731194	1.1657045	266.26008	1.4932305	1.2536195	-0.0061345514	0.22067153
3265	4.6941615	0.22125918	2.5043594	535.19083	1.6880214	1.6535762	-0.037438798	0.019265065
2357	5.2586311	0.33955527	1.4063794	54.596988	1.8060927	1.3341005	0.064957028	-0.094134732
4317	3.3659356	-0.51532543	2.9140695	495.65596	1.9925952	1.7815006	-0.0056095109	-0.116458
6933	1.0151865	-0.7218057	3.0357484	101.87668	2.1021063	2.092542	-0.022766391	-0.30887706
3732	3.3067192	-0.74279307	2.7847321	559.95665	2.2066842	2.1124789	0.25451544	0.0052840808
1583	2.8255455	-0.20780154	2.7553613	252.87445	2.4227696	2.133288	0.012038627	-0.0073567496
2859	6.2735131	-0.64370414	0.57204269	573.41171	2.5590667	1.8629775	0.0049485795	-0.12690563
7050	2.6188109	0.62786022	0.58202437	434.99339	2.7297671	1.7562996	0.18236464	0.0023055529
290	6.2378132	0.89877588	0.26710745	3131.9784	3.2364395	1.8113579	-0.30308079	0.12838324
