simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
7816	4.6010964	-1.047488	2.205876	457.93774	2.1439789	1.40277	0.042111404	-0.2471953
3894	0.78003088	1.1178031	0.59753235	654.10948	2.0671318	1.7890284	0.23607348	0.0012186761
2404	6.0658555	-0.43697737	2.6532541	741.56769	1.83536	1.5211368	-0.045323682	0.086247663
2133	3.3235051	-0.87810191	0.65366457	751.3918	1.9503254	1.7836737	0.16586053	-0.25088078
7033	5.0596754	-0.12293458	3.085011	479.07227	1.6233238	1.3502791	0.0068679465	-0.014398384
4155	3.4607829	-0.65042496	0.71415192	711.4095	1.8997681	1.5100921	-0.046855201	-0.1203794
3360	2.9128493	0.15843033	2.1638162	477.11229	2.9315186	2.0571562	-0.57900707	-0.11910529
3765	3.9733508	0.7470468	2.8375454	501.29935	2.6484955	2.4292506	-0.18168573	-0.0020671112
3337	2.1676802	0.31491608	2.1286706	351.32933	1.9808514	1.9108582	-0.020538039	-0.17369384
3605	5.7329373	1.4623043	1.1852796	292.83531	2.8454918	2.1855728	0.30903386	0.11605964
