simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
6661	3.1067796	1.4497811	1.3551546	38.857185	1.6364216	1.4610874	0.12108767	0.025579833
2357	5.2586311	0.33955527	1.4063794	54.596988	1.8060927	1.3341005	0.064957028	-0.094134732
3275	0.3603589	0.23690539	2.2797495	57.210867	1.7398427	1.7227794	0.11383511	0.055585654
5150	0.8471614	0.016836239	1.4195833	62.239518	1.4721414	1.421382	-0.034967113	-0.023683811
6849	1.4232292	-0.98912912	1.2996627	69.4299	1.7745304	1.4116562	-0.12442489	-0.23230135
817	2.633147	0.12413204	2.5605413	72.795428	1.5189433	1.4305642	0.053648122	-0.013277725
3929	4.8315971	0.37076052	0.48345173	73.592894	2.134564	1.2026572	0.30297765	-0.005969891
5584	2.3558659	-0.70164081	1.8325516	79.332548	2.0148854	1.666944	0.050272476	-0.21209508
7612	4.1585053	-0.49445039	1.2439652	84.158637	2.064779	1.9561892	-0.0055604361	-0.098362498
1922	3.3752218	0.38188434	0.75814954	89.952231	1.9527919	1.8251347	0.0071597368	0.040797935
5351	1.9315632	-0.46626489	1.632007	94.032819	2.2900607	2.1411167	0.13316763	0.077505954
6124	2.6525145	0.20567022	1.0321763	97.890854	2.060963	1.1759471	-0.040359776	0.13203811
6642	4.4362395	-0.19996714	0.52510083	100.47102	1.766987	1.410326	-0.19220952	-0.073100784
1632	0.35003558	-0.36817553	2.9710712	101.80346	1.37842	1.3503636	0.21279012	-0.10312569
6933	1.0151865	-0.7218057	3.0357484	101.87668	2.1021063	2.092542	-0.022766391	-0.30887706
1058	2.1782159	-0.1993409	1.0274183	102.45305	2.2954083	1.5691106	0.0091215007	-0.097448122
580	4.630322	-0.66546776	1.1815231	102.72643	1.8728536	1.3193222	0.29761696	-0.036155641
4410	3.108803	-0.27194577	0.28694057	104.78898	1.7850353	1.466708	0.07239502	0.003590265
896	2.3823751	0.4575622	2.9404342	109.69722	1.3064163	1.2092672	-0.0083822472	-0.0027260222
1264	0.66627845	0.37944218	1.259583	115.77937	1.5227594	1.2837242	-0.057312874	0.30691963
1121	4.6103201	-0.72769659	2.986707	115.81532	1.9114805	1.4080903	-0.092406727	0.01491555
4578	1.4307079	0.96796501	2.7073554	116.63574	1.7023779	1.6895947	-0.027717299	0.20269688
4767	5.8727221	0.41425323	1.182494	118.64933	1.9490465	1.7005969	0.3076318	-0.3100436
4312	4.0498041	0.16835522	1.9252424	118.83929	1.9549658	1.9475829	-0.032279023	0.17015322
4391	5.1345303	0.28801032	2.844414	123.62591	2.0849166	1.1642019000000001	-0.051188991	-0.028532282
3996	3.4732477	1.2902223	1.8070199	123.80085	1.6365399	1.5058555	0.13671269	0.27144138
1423	5.0307377	0.2230838	2.6239343	124.24661	1.5341666	1.2420771	-0.087397075	-0.063549461
7906	5.9422985	-0.68250335	2.4445564	124.84078	2.4705769	1.5641333	-0.0019651353	-0.23003043
7543	4.9020921	-0.45450729	0.82923284	126.05686	2.1211063	1.8491932	0.11345315	-0.00028600331
3991	3.5329258	-0.85538163	1.9916691	126.45798	1.2519865	1.2493269	-0.00058581028	0.016024106
