simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
11965	0.053353036	0.46481449	2.1166484	76.184725	2.3533147	1.2304333	0.2150594	-0.15122252
3435	5.2586311	0.33955527	1.4063794	80.146765	1.6070438	1.3553268	-0.10325601	0.0042281483
378	1.9447457	-0.49472089	2.5847512	80.590369	2.1917276	1.3733686	-0.2048184	0.054726812
4911	0.3603589	0.23690539	2.2797495	87.421567	2.0111236	1.8236272	-0.067065985	-0.020638799
7638	0.8471614	0.016836239	1.4195833	91.104735	1.4700811	1.2266436	0.076482351	-0.080528884
7427	0.33022072	-0.09570695	1.017055	91.108125	1.9803246	1.8814259	-0.16427544	-0.19096026
7803	2.3784859	0.25351372	0.68841728	95.515436	1.358127	1.2712146	0.053794401	0.28894358
1145	2.633147	0.12413204	2.5605413	103.36001	1.3134517	1.2616031	0.022750958	-0.25083342
11098	4.376374	-1.5135863	0.35977181	104.28635	1.617051	1.3606951	-0.10002384	0.088576517
10148	1.4232292	-0.98912912	1.2996627	107.81741	2.2505475	1.3585306	0.063164591	-0.0093685018
8252	2.3558659	-0.70164081	1.8325516	108.1795	1.7764045	1.3522719	0.070584714	0.25378814
164	5.3373964	0.1944663	2.1127356	109.18523	2.0442393	1.8805364	-0.010546948	0.1791654
5884	4.8315971	0.37076052	0.48345173	113.48336	2.2538066000000003	1.3154248	0.036797477	-0.049626518
6230	2.3956942	1.2112369	0.30654475	117.63761	2.4617526	2.0205372	0.0028471361	-0.048884796
4004	0.88071199	0.69373723	0.75571341	118.99783	1.7137513	1.4629261	0.0082922494	0.18928428
7919	1.9315632	-0.46626489	1.632007	119.35013	1.5839648	1.5823141	0.104641	0.064874
2806	3.3752218	0.38188434	0.75814954	121.39648	1.754105	1.4035017	0.12823941	0.061414567
259	5.3942362	-0.75930781	1.1613845	121.54648	2.1086698	1.526639	-0.042715258	-0.024932431
2603	4.9543328	-0.22651256	2.1294328	134.41221	1.8539518	1.1907742	-0.052694881	0.14641214
10276	1.0151865	-0.7218057	3.0357484	136.03961	1.7985821	1.451703	-0.14187739	-0.048100045
1532	2.1782159	-0.1993409	1.0274183	137.72299	1.7645239	1.3628987	0.056792117	0.19047984
9010	2.6525145	0.20567022	1.0321763	138.30547	1.3567996	1.3175074	-0.09955293	-0.25676866
10757	0.98069922	1.242507	2.2695813	140.23235	1.9128252	1.3600156	-0.17346274	-0.0097327444
2450	0.58040416	0.66729765	1.0341158	151.39772	1.7974395	1.3429643	-0.078801397	-0.19603881
4132	2.3138404	-0.21525219	1.2574531	154.97738	1.2318251	1.1608964	-0.083386946	0.19361977
6508	0.10981579	-0.53539419	2.8279495	156.65875	2.3083213	1.7429169	0.20432088	-0.32181532
6472	4.0498041	0.16835522	1.9252424	157.6684	1.8822015	1.3114797	0.20050975	-0.1092637
2468	3.5179004	-0.86875363	1.3592922	159.05576	2.3104343	1.4973333	0.20393206	-0.13805125
1283	6.1846504	-0.76578073	1.9226693	162.3897	1.5214548	1.2766592	-0.14488834	-0.14370537
3935	3.2863088	-0.34478848	1.5442047	162.66298	2.125561	1.8890387	-0.28590571	0.19400374
