simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
11965	0.053353036	0.46481449	2.1166484	76.184725	2.3139909109745407	1.209872811639009	0.2150594	-0.15122252
3435	5.2586311	0.33955527	1.4063794	80.146765	1.578836249964327	1.3315374990950162	-0.10325601	0.0042281483
378	1.9447457	-0.49472089	2.5847512	80.590369	2.153051021522083	1.3491332897191934	-0.2048184	0.054726812
4911	0.3603589	0.23690539	2.2797495	87.421567	1.9727255784826139	1.7888090135567152	-0.067065985	-0.020638799
7638	0.8471614	0.016836239	1.4195833	91.104735	1.440871335561071	1.202270814983908	0.076482351	-0.080528884
7427	0.33022072	-0.09570695	1.017055	91.108125	1.9409751427763204	1.8440415802922243	-0.16427544	-0.19096026
7803	2.3784859	0.25351372	0.68841728	95.515436	1.329882354264872	1.2447774508745333	0.053794401	0.28894358
1145	2.633147	0.12413204	2.5605413	103.36001	1.2839799170391015	1.2332947177838922	0.022750958	-0.25083342
11098	4.376374	-1.5135863	0.35977181	104.28635	1.5804544715058517	1.329900327912417	-0.10002384	0.088576517
10148	1.4232292	-0.98912912	1.2996627	107.81741	2.19795900657806	1.326785845658399	0.063164591	-0.0093685018
8252	2.3558659	-0.70164081	1.8325516	108.1795	1.7347615410529633	1.320571573178642	0.070584714	0.25378814
164	5.3373964	0.1944663	2.1127356	109.18523	1.9958903740218703	1.8360592611431261	-0.010546948	0.1791654
5884	4.8315971	0.37076052	0.48345173	113.48336	2.198491693680639	1.2831404861719349	0.036797477	-0.049626518
6230	2.3956942	1.2112369	0.30654475	117.63761	2.3992193389751226	1.969211660570053	0.0028471361	-0.048884796
4004	0.88071199	0.69373723	0.75571341	118.99783	1.6697376534822506	1.4253543051619801	0.0082922494	0.18928428
7919	1.9315632	-0.46626489	1.632007	119.35013	1.5431693255173935	1.5415611397763775	0.104641	0.064874
2806	3.3752218	0.38188434	0.75814954	121.39648	1.7081878725567579	1.3667622993223285	0.12823941	0.061414567
259	5.3942362	-0.75930781	1.1613845	121.54648	2.05340612256625	1.4866290917375575	-0.042715258	-0.024932431
2603	4.9543328	-0.22651256	2.1294328	134.41221	1.800476062357527	1.1564272829384963	-0.052694881	0.14641214
10276	1.0151865	-0.7218057	3.0357484	136.03961	1.7461068392620518	1.4093482509790565	-0.14187739	-0.048100045
1532	2.1782159	-0.1993409	1.0274183	137.72299	1.7124375926229916	1.3226678135767982	0.056792117	0.19047984
9010	2.6525145	0.20567022	1.0321763	138.30547	1.3165879866339567	1.2784602937245404	-0.09955293	-0.25676866
10757	0.98069922	1.242507	2.2695813	140.23235	1.855385521601945	1.3191760822644862	-0.17346274	-0.0097327444
2450	0.58040416	0.66729765	1.0341158	151.39772	1.7394052527778912	1.2996037739869317	-0.078801397	-0.19603881
4132	2.3138404	-0.21525219	1.2574531	154.97738	1.1911657444685013	1.1225782171160523	-0.083386946	0.19361977
6508	0.10981579	-0.53539419	2.8279495	156.65875	2.231350176511118	1.6847992229067985	0.20432088	-0.32181532
6472	4.0498041	0.16835522	1.9252424	157.6684	1.819058103082019	1.2674826660761747	0.20050975	-0.1092637
2468	3.5179004	-0.86875363	1.3592922	159.05576	2.2322821672211446	1.4466849042088703	0.20393206	-0.13805125
1283	6.1846504	-0.76578073	1.9226693	162.3897	1.4689753951882865	1.2326235080008698	-0.14488834	-0.14370537
3935	3.2863088	-0.34478848	1.5442047	162.66298	2.052128120125698	1.8237770810979748	-0.28590571	0.19400374
